run,chip,field,date,x,y,ZPL_nm,FWHM_nm,PSB_nm,PSB_FWHM_nm,DWF,g2_0,T1_ns,T2_ns,ZPL_intensity,rate_kHz
20260716-PLSPC-HT-Ch6-f20-100uW-1s-fullauto-2,6,20,20260716,2.5,4.0,572.0345321501045,6.628685815791346,,,,0.5279794425604489,,,18322.013658634674,19.120963939521985
20260716-PLSPC-HT-Ch6-f20-100uW-1s-fullauto-3,6,20,20260716,-4.5,2.25,607.1142235579176,3.2075535137762436,625.8613504074503,14.67177975949712,0.26919651281667173,0.9066630008365454,,,2716.6840898251794,11.07668701992658
20260717-PLSPC-HT-Ch6-f21-100uW-1s-fullauto-2,6,21,20260717,-8.75,10.75,591.1231073493466,13.384096085288347,,,,0.199922210512406,2.387592446988007,157.97752445427483,29400.038808308618,29.558849164787144
20260717-PLSPC-HT-Ch6-f22-100uW-1s-fullauto-1,6,22,20260717,2.25,5.25,623.2778564168094,11.146324326411648,,,,0.08245203900559728,3.8811350581295385,384.30223050607225,5147.038463929442,8.051018938176025
20260717-PLSPC-HT-Ch6-f22-100uW-1s-fullauto-1,6,22,20260717,2.75,4.25,560.0000000000007,13.798752236720803,,,,0.16847547756578962,2.764137743477059,124.66754053090061,37510.42042691067,51.91662838613924
20260720-PLSPC-HT-Ch6-f29-100uW-1s-fullauto-1,6,29,20260720,-3.0,-8.0,569.8887175546442,7.075278360505149,,,,0.9234947572917703,,,9245.449999231649,15.337337657624754
20260720-PLSPC-HT-Ch6-f29-100uW-1s-fullauto-1,6,29,20260720,-3.5,-9.5,589.4143720772272,13.582415845815154,,,,0.7577758195502418,,,12893.60577343113,10.388805616681628
20260720-PLSPC-HT-Ch6-f29-100uW-1s-fullauto-1,6,29,20260720,3.0,-9.25,560.0000000000001,9.940380636488584,,,,0.14275825659265073,2.029344809502015,69.53365793996845,46872.0432719818,41.78188199444571
20260720-PLSPC-HT-Ch6-f29-100uW-1s-fullauto-1,6,29,20260720,3.25,-9.5,564.7977794493514,17.46293107567332,,,,0.17985472376083522,2.405952369006487,216.48734600849556,141047.7223328854,32.755945063840564
20260720-PLSPC-HT-Ch6-f31-100uW-1s-fullauto-1,6,31,20260720,3.0,-2.25,612.4418257385837,10.880983841583124,,,,0.306981562304796,4.996201508299165,5.6547817313723705,5304.378294030771,3.3270466878382567
20260720-PLSPC-HT-Ch6-f31-100uW-1s-fullauto-1,6,31,20260720,4.25,2.5,575.5082883414128,14.755096455285821,,,,0.9319977331932419,,,15547.267315703004,14.708876975123786
20260720-PLSPC-HT-Ch6-f33-100uW-1s-fullauto-2,6,33,20260720,-0.75,-0.5,571.0464722858624,4.2098340266859555,,,,0.23441616073886828,1.9116485999614223,294.063977735283,21711.358133410846,11.13251323016434
20260720-PLSPC-HT-Ch6-f34-100uW-1s-fullauto-1,6,34,20260720,2.0,4.5,602.7960932938554,19.632770323013656,,,,0.42346393708508323,3.1190401966549284,222.4354383658879,18841.043179543038,15.742334346491159
20260720-PLSPC-HT-Ch6-f35-100uW-1s-fullauto-1,6,35,20260720,2.25,-3.5,580.7277593730611,16.83581651158377,,,,0.7593879526711631,,,43039.20949342276,50.57537546496695
20260720-PLSPC-HT-Ch6-f35-100uW-1s-fullauto-1,6,35,20260720,3.5,-3.75,576.1484695507487,6.751128929895515,,,,0.8115663953798079,,,63554.68687048798,117.27416608594041
20260721-PLSPC-HT-Ch6-f37-100uW-1s-fullauto-1,6,37,20260721,7.5,9.75,567.7344622601508,5.76975947428718,,,,0.30403209874560655,1.8240465498172644,173.92945686611532,65716.40681964232,189.05569952960323
20260721-PLSPC-HT-Ch6-f37-100uW-1s-fullauto-1,6,37,20260721,8.25,7.75,568.8755330774442,6.570772010903776,644.5955842241513,2.3548200450390406,0.9866771772133917,0.6965099502716422,,,28754.48206480828,32.883384092643254
20260721-PLSPC-HT-Ch6-f37-100uW-1s-fullauto-2,6,37,20260721,0.75,10.5,575.6809355972923,12.31774608444077,,,,0.8318304260015956,,,11873.295141252398,14.787331805326781
20260722-PLSPC-HT-Ch5-f7-100uW-1s-fullauto-2,5,7,20260722,-4.5,-5.75,568.6131125306936,5.604565510236181,,,,0.17617976095018706,6.5429046847038785,85.82172304455528,5462.910602442156,2.461811452299536
20260722-PLSPC-HT-Ch5-f7-100uW-1s-fullauto-2,5,7,20260722,5.0,6.75,574.1900682930662,4.9580693449995845,,,,0.5911400491082053,,,6003.497826652356,3.6307080935685323
20260722-PLSPC-HT-Ch6-f40-100uW-1s-fullauto-1,6,40,20260722,1.25,-6.25,575.0786691655745,11.919287552591884,,,,0.6703015461128805,,,33574.85930027083,17.246793919240794
20260722-PLSPC-HT-Ch6-f43-100uW-1s-fullauto-1,6,43,20260722,6.75,-2.25,584.7636139772255,7.44173981243651,,,,0.9248390041981662,,,18266.338320054216,5.803206980613776
20260723-PLSPC-HT-Ch5-f8-100uW-1s-fullauto-1,5,8,20260723,-2.25,4.0,580.732911740015,5.929318592665473,,,,0.8410181900303557,,,3720.5536803051373,11.181265466863588
20260723-PLSPC-HT-Ch5-f8-100uW-1s-fullauto-1,5,8,20260723,2.75,-3.25,573.4541317474519,12.103288870379302,,,,0.7611395232785159,,,10952.681547027054,7.812848069832214
20260723-PLSPC-HT-Ch5-f9-100uW-1s-fullauto-1,5,9,20260723,-1.75,-7.0,568.8039272961781,7.094985582553986,615.1059303633381,21.449195309321386,0.5938974937116722,0.4442648781510832,5.329122626091643,115.86644712470786,7121.572068625234,6.351054722644566
20260723-PLSPC-HT-Ch5-f9-100uW-1s-fullauto-2,5,9,20260723,-0.75,-0.5,573.2824459135094,9.169574069537074,,,,0.265764077267874,5.4286595162142675,109.62841326518928,7780.896288284863,8.442304913918624
20260724-PLSPC-HT-Ch5-f10-100uW-1s-fullauto-1,5,10,20260724,-3.75,10.25,582.6772533566956,8.955604198995045,,,,0.37999913702015553,3.5567220625892544,58.0675029847575,32859.61185556103,11.966047645102153
20260727-PLSPC-HT-Ch5-f16-100uW-1s-fullauto-3,5,16,20260727,-8.5,3.5,571.8361637300067,6.366279238218488,,,,0.4585068639400317,1.4334264175086466,1.5624967423778124,47579.2466043309,29.121813181389168
