run,chip,field,date,x,y,ZPL_nm,FWHM_nm,g2_0,T3_ns
20260720-PLSPC-HT-Ch6-f31-100uW-1s-fullauto-1,6,31,20260720,4.25,2.5,575.5082883414128,14.755096455285821,0.967703662774685,
20260720-PLSPC-HT-Ch6-f33-100uW-1s-fullauto-2,6,33,20260720,-0.75,-0.5,571.0464722858624,4.2098340266859555,0.3099520561936273,
20260720-PLSPC-HT-Ch6-f34-100uW-1s-fullauto-1,6,34,20260720,2.0,4.5,602.7960932938554,19.632770323013656,0.7004911027440495,
20260720-PLSPC-HT-Ch6-f35-100uW-1s-fullauto-1,6,35,20260720,2.25,-3.5,580.7277593730611,16.83581651158377,0.9587868577968894,
20260720-PLSPC-HT-Ch6-f35-100uW-1s-fullauto-1,6,35,20260720,3.5,-3.75,576.1484695507487,6.751128929895515,0.9600551589068232,
20260721-PLSPC-HT-Ch6-f37-100uW-1s-fullauto-1,6,37,20260721,7.5,9.75,567.7344622601508,5.76975947428718,0.623434881567263,
20260721-PLSPC-HT-Ch6-f37-100uW-1s-fullauto-1,6,37,20260721,8.25,7.75,568.8755330774442,6.570772010903776,0.9087276904828248,
20260721-PLSPC-HT-Ch6-f37-100uW-1s-fullauto-2,6,37,20260721,0.75,10.5,575.6809355972923,12.31774608444077,0.8007013699338009,
20260722-PLSPC-HT-Ch5-f7-100uW-1s-fullauto-2,5,7,20260722,-4.5,-5.75,568.6131125306936,5.604565510236181,0.3660514123327061,
20260722-PLSPC-HT-Ch5-f7-100uW-1s-fullauto-2,5,7,20260722,5.0,6.75,574.1900682930662,4.9580693449995845,-0.7556649431159994,
20260722-PLSPC-HT-Ch6-f40-100uW-1s-fullauto-1,6,40,20260722,1.25,-6.25,575.0786691655745,11.919287552591884,0.9497066044324379,
20260722-PLSPC-HT-Ch6-f43-100uW-1s-fullauto-1,6,43,20260722,6.75,-2.25,584.7636139772255,7.44173981243651,-0.34151635727600915,5946770.431603441
20260723-PLSPC-HT-Ch5-f8-100uW-1s-fullauto-1,5,8,20260723,-2.25,4.0,580.732911740015,5.929318592665473,0.9369492158202036,
20260723-PLSPC-HT-Ch5-f8-100uW-1s-fullauto-1,5,8,20260723,2.75,-3.25,573.4541317474519,12.103288870379302,0.9558516018140879,
20260723-PLSPC-HT-Ch5-f9-100uW-1s-fullauto-1,5,9,20260723,-1.75,-7.0,568.8039272961781,7.094985582553986,0.6182760578480256,
20260723-PLSPC-HT-Ch5-f9-100uW-1s-fullauto-2,5,9,20260723,-0.75,-0.5,573.2824459135094,9.169574069537074,0.5766303766739358,
20260724-PLSPC-HT-Ch5-f10-100uW-1s-fullauto-1,5,10,20260724,-3.75,10.25,582.6772533566956,8.955604198995045,0.5072519687909085,
20260727-PLSPC-HT-Ch5-f16-100uW-1s-fullauto-3,5,16,20260727,-8.5,3.5,571.8361637300067,6.366279238218488,0.6098081710746671,
